sector,date,value,index
small-cap,07/11/2021,,0
small-cap,08/11/2021,611.89,136.7260295
small-cap,09/11/2021,609.85,136.2701942
small-cap,10/11/2021,602.36,134.5965634
small-cap,11/11/2021,604.2,135.007709
small-cap,12/11/2021,605.92,135.3920408
small-cap,13/11/2021,,0
small-cap,14/11/2021,,0
small-cap,15/11/2021,605.75,135.3540545
small-cap,16/11/2021,604.51,135.0769781
small-cap,17/11/2021,599.69,133.9999553
small-cap,18/11/2021,597.59,133.530713
small-cap,19/11/2021,594.28,132.7910978
small-cap,20/11/2021,,0
small-cap,21/11/2021,,0
small-cap,22/11/2021,591.59,132.1900208
small-cap,23/11/2021,588.53,131.5062677
small-cap,24/11/2021,587.05,131.1755636
small-cap,25/11/2021,588.36,131.4682815
small-cap,26/11/2021,572.33,127.8863987
small-cap,27/11/2021,,0
small-cap,28/11/2021,,0
small-cap,29/11/2021,571.14,127.6204947
small-cap,30/11/2021,561.13,125.3837732
small-cap,01/12/2021,556.7,124.3938954
small-cap,02/12/2021,563.09,125.8217326
small-cap,03/12/2021,556.25,124.2933435
small-cap,04/12/2021,,0
small-cap,05/12/2021,,0
small-cap,06/12/2021,563.36,125.8820638
small-cap,07/12/2021,575.85,128.6729381
small-cap,08/12/2021,578.78,129.3276428
small-cap,09/12/2021,571.18,127.6294327
small-cap,10/12/2021,569.39,127.2294595
small-cap,11/12/2021,,0
small-cap,12/12/2021,,0
small-cap,13/12/2021,563.26,125.8597189
small-cap,14/12/2021,558.81,124.8653722
small-cap,15/12/2021,562.83,125.763636
small-cap,16/12/2021,560.61,125.2675798
small-cap,17/12/2021,560.88,125.327911
small-cap,18/12/2021,,0
small-cap,19/12/2021,,0
small-cap,20/12/2021,551.44,123.2185552
small-cap,21/12/2021,563.72,125.9625053
