Date,Adj Close
16/07/2018,136.3
23/07/2018,136.7
30/07/2018,137.7
06/08/2018,137.7
13/08/2018,138.5
20/08/2018,140.0
27/08/2018,141.3
03/09/2018,139.9
10/09/2018,141.5
17/09/2018,142.3
24/09/2018,140.9
01/10/2018,139.6
08/10/2018,133.7
15/10/2018,133.7
22/10/2018,128.4
29/10/2018,132.0
05/11/2018,134.5
12/11/2018,132.5
19/11/2018,127.8
26/11/2018,133.7
03/12/2018,127.6
10/12/2018,125.9
17/12/2018,116.8
24/12/2018,119.6
31/12/2018,122.6
07/01/2019,126.4
14/01/2019,130.0
21/01/2019,129.8
28/01/2019,132.0
04/02/2019,132.2
11/02/2019,135.8
18/02/2019,136.8
25/02/2019,137.4
04/03/2019,134.1
11/03/2019,138.0
18/03/2019,136.6
25/03/2019,137.7
01/04/2019,141.4
08/04/2019,142.2
15/04/2019,141.8
22/04/2019,143.6
29/04/2019,144.1
06/05/2019,141.1
13/05/2019,139.9
20/05/2019,138.3
27/05/2019,134.6
03/06/2019,140.4
10/06/2019,141.2
17/06/2019,144.1
24/06/2019,144.1
01/07/2019,146.5
08/07/2019,147.5
15/07/2019,145.7
22/07/2019,148.2
29/07/2019,143.6
05/08/2019,143.0
12/08/2019,141.5
19/08/2019,139.5
26/08/2019,143.1
02/09/2019,145.6
09/09/2019,147.3
16/09/2019,146.0
23/09/2019,145.0
30/09/2019,144.4
07/10/2019,145.3
14/10/2019,146.2
21/10/2019,148.0
28/10/2019,150.3
04/11/2019,151.6
11/11/2019,152.9
18/11/2019,152.5
25/11/2019,154.3
02/12/2019,154.6
09/12/2019,155.6
16/12/2019,158.4
23/12/2019,158.3
30/12/2019,159.0
06/01/2020,160.4
13/01/2020,163.6
20/01/2020,162.0
27/01/2020,158.6
03/02/2020,163.6
10/02/2020,166.5
17/02/2020,164.7
24/02/2020,145.9
02/03/2020,146.0
09/03/2020,131.8
16/03/2020,111.7
23/03/2020,123.1
30/03/2020,120.2
06/04/2020,135.8
13/04/2020,139.5
20/04/2020,138.0
27/04/2020,138.2
04/05/2020,143.7
11/05/2020,140.2
18/05/2020,145.5
25/05/2020,149.8
01/06/2020,157.8
08/06/2020,150.0
15/06/2020,153.1
22/06/2020,148.1
29/06/2020,154.7
06/07/2020,157.6
13/07/2020,159.8
20/07/2020,159.3
27/07/2020,162.0
03/08/2020,166.2
10/08/2020,167.4
17/08/2020,168.6
24/08/2020,173.9
31/08/2020,169.8
07/09/2020,165.6
14/09/2020,165.5
21/09/2020,163.4
28/09/2020,167.5
05/10/2020,174.3
12/10/2020,174.5
19/10/2020,173.8
26/10/2020,164.1
02/11/2020,176.2
09/11/2020,180.2
16/11/2020,180.1
23/11/2020,185.0
30/11/2020,188.3
07/12/2020,186.9
14/12/2020,190.2
21/12/2020,189.5
28/12/2020,192.1
04/01/2021,196.7
11/01/2021,194.5
18/01/2021,198.3
25/01/2021,191.5
01/02/2021,201.5
08/02/2021,204.8
15/02/2021,203.3
22/02/2021,197.5
01/03/2021,198.1
08/03/2021,204.7
15/03/2021,202.6
22/03/2021,203.8
29/03/2021,207.2
05/04/2021,212.1
12/04/2021,215.0
19/04/2021,215.1
26/04/2021,215.0
03/05/2021,216.6
10/05/2021,213.4
17/05/2021,212.9
24/05/2021,216.0
31/05/2021,217.3
07/06/2021,218.9
14/06/2021,214.6
21/06/2021,220.4
28/06/2021,223.8
05/07/2021,224.4
12/07/2021,220.9
19/07/2021,225.9
26/07/2021,225.2
02/08/2021,227.3
09/08/2021,228.6
16/08/2021,226.6
23/08/2021,231.2
30/08/2021,232.7
06/09/2021,228.5
13/09/2021,227.5
20/09/2021,228.1
27/09/2021,224.3
04/10/2021,225.6
11/10/2021,229.9
18/10/2021,233.5
25/10/2021,236.1
01/11/2021,241.5
08/11/2021,240.9
15/11/2021,240.6
22/11/2021,235.1
29/11/2021,230.4
06/12/2021,238.7
13/12/2021,234.6
20/12/2021,239.8
27/12/2021,242.1
