ETF,date,price,index
VT,29/10/2020,77.809975,97.84971135
VT,30/10/2020,77.039482,96.88078008
VT,31/10/2020,,0
VT,01/11/2020,,0
VT,02/11/2020,77.995277,98.08273735
VT,03/11/2020,79.467987,99.93473959
VT,04/11/2020,80.96022,101.8112929
VT,05/11/2020,82.676743,103.9699015
VT,06/11/2020,82.774284,104.0925639
VT,07/11/2020,,0
VT,08/11/2020,,0
VT,09/11/2020,84.100708,105.7606046
VT,10/11/2020,84.159225,105.8341925
VT,11/11/2020,84.695633,106.5087509
VT,12/11/2020,83.798355,105.3803815
VT,13/11/2020,84.978477,106.8644405
VT,14/11/2020,,0
VT,15/11/2020,,0
VT,16/11/2020,86.061066,108.2258472
VT,17/11/2020,85.885506,108.0050722
VT,18/11/2020,85.144287,107.0729544
VT,19/11/2020,85.670944,107.7352504
VT,20/11/2020,85.534393,107.5635311
VT,21/11/2020,,0
VT,22/11/2020,,0
VT,23/11/2020,85.953789,108.0909413
VT,24/11/2020,87.260689,109.7344297
VT,25/11/2020,87.124153,109.5627292
VT,26/11/2020,,0
VT,27/11/2020,87.553276,110.1023716
VT,28/11/2020,,0
VT,29/11/2020,,0
VT,30/11/2020,86.56823,108.8636299
VT,01/12/2020,87.855644,110.4826136
VT,02/12/2020,87.914139,110.5561739
VT,03/12/2020,88.206741,110.9241347
VT,04/12/2020,89.05526,111.9911873
VT,05/12/2020,,0
VT,06/12/2020,,0
VT,07/12/2020,88.772423,111.6355065
VT,08/12/2020,89.05526,111.9911873
VT,09/12/2020,88.509087,111.304349
VT,10/12/2020,88.762665,111.6232353
VT,11/12/2020,88.528587,111.3288712
VT,12/12/2020,,0
VT,13/12/2020,,0
VT,14/12/2020,88.333534,111.0835828
VT,15/12/2020,89.474648,112.5185875
VT,16/12/2020,89.689209,112.7884081
VT,17/12/2020,90.264648,113.5120497
VT,18/12/2020,89.981804,113.1563601
VT,19/12/2020,,0
VT,20/12/2020,,0
VT,21/12/2020,89.336189,112.3444688
VT,22/12/2020,89.247879,112.2334148
VT,23/12/2020,89.659973,112.7516424
VT,24/12/2020,89.86602,113.0107562
VT,25/12/2020,,0
VT,26/12/2020,,0
VT,27/12/2020,,0
VT,28/12/2020,90.278114,113.5289839
VT,29/12/2020,90.454735,113.7510931
VT,30/12/2020,90.768707,114.1459277
VT,31/12/2020,90.837387,114.232296
VT,01/01/2021,,0
VT,02/01/2021,,0
VT,03/01/2021,,0
VT,04/01/2021,90.317368,113.5783476
VT,05/01/2021,91.30835,114.8245542
VT,06/01/2021,91.955933,115.6389203
VT,07/01/2021,92.888046,116.8110964
VT,08/01/2021,93.731865,117.8722385
VT,09/01/2021,,0
VT,10/01/2021,,0
VT,11/01/2021,92.888046,116.8110964
VT,12/01/2021,93.241272,117.2552947
VT,13/01/2021,93.319763,117.3540009
VT,14/01/2021,93.476753,117.5514232
VT,15/01/2021,92.505386,116.3298834
VT,16/01/2021,,0
VT,17/01/2021,,0
VT,18/01/2021,,0
VT,19/01/2021,93.309959,117.3416719
VT,20/01/2021,94.438309,118.7606252
VT,21/01/2021,94.467743,118.7976398
VT,22/01/2021,94.026215,118.2423975
VT,23/01/2021,,0
VT,24/01/2021,,0
VT,25/01/2021,94.232262,118.5015114
VT,26/01/2021,93.957535,118.1560292
VT,27/01/2021,91.700821,115.318105
VT,28/01/2021,92.446518,116.2558541
VT,29/01/2021,90.63134,113.9731822
VT,30/01/2021,,0
VT,31/01/2021,,0
VT,01/02/2021,92.181602,115.9227097
VT,02/02/2021,93.45713,117.5267463
VT,03/02/2021,93.604309,117.7118309
VT,04/02/2021,94.251877,118.5261781
VT,05/02/2021,94.83078,119.254176
VT,06/02/2021,,0
VT,07/02/2021,,0
VT,08/02/2021,95.488167,120.0808711
VT,09/02/2021,95.782524,120.4510389
VT,10/02/2021,95.772713,120.4387011
VT,11/02/2021,96.263306,121.0556449
VT,12/02/2021,96.724449,121.635554
VT,13/02/2021,,0
VT,14/02/2021,,0
VT,15/02/2021,,0
VT,16/02/2021,96.852005,121.7959617
VT,17/02/2021,96.538025,121.401117
VT,18/02/2021,96.018005,120.7471674
VT,19/02/2021,96.263306,121.0556449
VT,20/02/2021,,0
VT,21/02/2021,,0
VT,22/02/2021,95.233063,119.7600658
VT,23/02/2021,95.409668,119.9821549
VT,24/02/2021,96.018005,120.7471674
VT,25/02/2021,93.829971,117.9956115
VT,26/02/2021,93.054848,117.0208578
VT,27/02/2021,,0
VT,28/02/2021,,0
VT,01/03/2021,95.262497,119.7970804
VT,02/03/2021,94.644356,119.019739
VT,03/03/2021,93.643562,117.7611934
VT,04/03/2021,92.279724,116.0461028
VT,05/03/2021,93.545433,117.6377915
VT,06/03/2021,,0
VT,07/03/2021,,0
VT,08/03/2021,92.878235,116.7987586
VT,09/03/2021,94.320564,118.6125553
VT,10/03/2021,94.7621,119.1678076
VT,11/03/2021,95.97876,120.6978149
VT,12/03/2021,95.988571,120.7101527
VT,13/03/2021,,0
VT,14/03/2021,,0
VT,15/03/2021,96.390846,121.2160325
VT,16/03/2021,96.312363,121.1173364
VT,17/03/2021,96.724449,121.635554
VT,18/03/2021,95.311554,119.8587719
VT,19/03/2021,95.409668,119.9821549
VT,20/03/2021,,0
VT,21/03/2021,,0
VT,22/03/2021,95.835625,120.5178159
VT,23/03/2021,94.645309,119.0209374
VT,24/03/2021,93.88784,118.0683845
VT,25/03/2021,94.428886,118.7487753
VT,26/03/2021,95.904495,120.6044232
VT,27/03/2021,,0
VT,28/03/2021,,0
VT,29/03/2021,95.540512,120.1466974
VT,30/03/2021,95.520836,120.1219539
VT,31/03/2021,95.707756,120.3570146
VT,01/04/2021,96.966934,121.9404903
VT,02/04/2021,,0
VT,03/04/2021,,0
VT,04/04/2021,,0
VT,05/04/2021,98.078552,123.3384023
VT,06/04/2021,97.871971,123.078617
VT,07/04/2021,97.724403,122.8930433
VT,08/04/2021,98.344162,123.6724194
VT,09/04/2021,98.708138,124.1301364
VT,10/04/2021,,0
VT,11/04/2021,,0
VT,12/04/2021,98.501549,123.870341
VT,13/04/2021,98.875374,124.3404436
VT,14/04/2021,98.836029,124.2909654
VT,15/04/2021,99.790253,125.490947
VT,16/04/2021,100.173912,125.9734163
VT,17/04/2021,,0
VT,18/04/2021,,0
VT,19/04/2021,99.72139,125.4043486
VT,20/04/2021,98.59993,123.9940597
VT,21/04/2021,99.603348,125.2559052
VT,22/04/2021,98.973747,124.4641522
VT,23/04/2021,100.124725,125.9115613
VT,24/04/2021,,0
VT,25/04/2021,,0
VT,26/04/2021,100.419846,126.2826899
VT,27/04/2021,100.311638,126.1466132
VT,28/04/2021,100.49855,126.3816639
VT,29/04/2021,100.724808,126.666194
VT,30/04/2021,99.662361,125.3301168
VT,01/05/2021,,0
VT,02/05/2021,,0
VT,03/05/2021,100.124725,125.9115613
VT,04/05/2021,99.150826,124.6868374
VT,05/05/2021,99.593506,125.2435284
VT,06/05/2021,100.252609,126.0723815
VT,07/05/2021,101.196999,127.2599964
VT,08/05/2021,,0
VT,09/05/2021,,0
VT,10/05/2021,100.173912,125.9734163
VT,11/05/2021,99.298386,124.8724011
VT,12/05/2021,97.153847,122.1755422
VT,13/05/2021,98.058884,123.3136689
VT,14/05/2021,99.6427,125.3053922
VT,15/05/2021,,0
VT,16/05/2021,,0
VT,17/05/2021,99.445938,125.0579547
VT,18/05/2021,99.268875,124.8352896
VT,19/05/2021,98.747498,124.1796335
VT,20/05/2021,99.878792,125.602289
VT,21/05/2021,99.741074,125.4291021
VT,22/05/2021,,0
VT,23/05/2021,,0
VT,24/05/2021,100.537895,126.4311421
VT,25/05/2021,100.557564,126.4558768
VT,26/05/2021,100.803497,126.7651491
VT,27/05/2021,100.951065,126.9507228
VT,28/05/2021,101.236351,127.3094834
VT,29/05/2021,,0
VT,30/05/2021,,0
VT,31/05/2021,,0
VT,01/06/2021,101.62001,127.7919527
VT,02/06/2021,101.767563,127.9775076
VT,03/06/2021,101.206833,127.2723632
VT,04/06/2021,102.170898,128.4847203
VT,05/06/2021,,0
VT,06/06/2021,,0
VT,07/06/2021,102.239754,128.57131
VT,08/06/2021,102.210251,128.5342086
VT,09/06/2021,101.944633,128.2001814
VT,10/06/2021,102.446342,128.8311042
VT,11/06/2021,102.633255,129.0661561
VT,12/06/2021,,0
VT,13/06/2021,,0
VT,14/06/2021,102.810326,129.2888312
VT,15/06/2021,102.603745,129.0290458
VT,16/06/2021,101.934799,128.1878147
VT,17/06/2021,101.669189,127.8537976
VT,18/06/2021,100.16407,125.9610395
VT,19/06/2021,,0
VT,20/06/2021,,0
VT,21/06/2021,101.543228,127.6953957
VT,22/06/2021,101.800278,128.0186482
VT,23/06/2021,101.651978,127.832154
VT,24/06/2021,102.393463,128.7646063
VT,25/06/2021,102.798805,129.274343
VT,26/06/2021,,0
VT,27/06/2021,,0
VT,28/06/2021,102.690056,129.137586
VT,29/06/2021,102.709824,129.1624452
VT,30/06/2021,102.433006,128.8143335
VT,01/07/2021,102.808685,129.2867676
VT,02/07/2021,103.24369,129.8338068
VT,03/07/2021,,0
VT,04/07/2021,,0
VT,05/07/2021,,0
VT,06/07/2021,102.719719,129.1748886
VT,07/07/2021,102.976761,129.498131
VT,08/07/2021,101.800278,128.0186482
VT,09/07/2021,103.303009,129.9084033
VT,10/07/2021,,0
VT,11/07/2021,,0
VT,12/07/2021,103.550163,130.2192111
VT,13/07/2021,103.065735,129.61002
VT,14/07/2021,103.144829,129.7094845
VT,15/07/2021,102.699936,129.1500106
VT,16/07/2021,101.909027,128.1554052
VT,17/07/2021,,0
VT,18/07/2021,,0
VT,19/07/2021,100.366745,126.2159129
VT,20/07/2021,101.572884,127.7326895
VT,21/07/2021,102.610962,129.0381216
VT,22/07/2021,102.719719,129.1748886
VT,23/07/2021,103.391991,130.0203023
VT,24/07/2021,,0
VT,25/07/2021,,0
VT,26/07/2021,103.273346,129.8711007
VT,27/07/2021,102.601074,129.0256869
VT,28/07/2021,103.144829,129.7094845
VT,29/07/2021,103.649025,130.3435347
VT,30/07/2021,103.065735,129.61002
VT,31/07/2021,,0
VT,01/08/2021,,0
VT,02/08/2021,103.144829,129.7094845
VT,03/08/2021,103.906082,130.666796
