sector,date,index
utilities,03/02/2020,101.9102564
utilities,17/02/2020,104.0576923
utilities,02/03/2020,97.59615385
utilities,16/03/2020,75.78205128
utilities,01/04/2020,78.30769231
utilities,01/05/2020,83.66666667
utilities,15/05/2020,81.20512821
utilities,01/06/2020,89.34615385
utilities,15/06/2020,88.19230769
utilities,01/07/2020,88.21794872
utilities,15/07/2020,89.90384615
utilities,03/08/2020,92.32051282
utilities,17/08/2020,92.55769231
utilities,18/08/2020,92.17307692
utilities,01/09/2020,90.31410256
utilities,16/09/2020,91.16666667
utilities,01/10/2020,91.44230769
utilities,15/10/2020,95.05128205
utilities,02/11/2020,93.79487179
utilities,16/11/2020,99.85897436
utilities,01/12/2020,97.08333333
utilities,15/12/2020,96.72435897
utilities,01/01/2021,98.30769231
utilities,15/01/2021,99.28205128
utilities,01/02/2021,97.58974359
utilities,15/02/2021,97.34615385
utilities,01/03/2021,92.54487179
utilities,15/03/2021,96.67948718
utilities,01/04/2021,98.17948718
utilities,15/04/2021,101.5897436
utilities,30/04/2021,101.0705128
utilities,15/05/2021,100.9230769
utilities,01/06/2021,99.71794872
utilities,15/06/2021,101.1794872
utilities,02/07/2021,97.6025641
utilities,15/07/2021,98.85897436
utilities,02/08/2021,100.1602564
utilities,16/08/2021,102.8653846
utilities,01/09/2021,103.7307692
utilities,15/09/2021,100.7820513
utilities,01/10/2021,95.37179487
utilities,15/10/2021,98.03205128
utilities,01/11/2021,100.6987179
utilities,15/11/2021,100.2884615
utilities,01/12/2021,98.02564103
utilities,15/12/2021,102.5833333
utilities,31/12/2021,105.2820513
cons_stap,22/01/2020,100
cons_stap,03/02/2020,98.29019608
cons_stap,17/02/2020,99.80784314
cons_stap,02/03/2020,92.98039216
cons_stap,16/03/2020,79.92156863
cons_stap,01/04/2020,83.59607843
cons_stap,01/05/2020,88.88627451
cons_stap,15/05/2020,87.77647059
cons_stap,01/06/2020,92.02745098
cons_stap,15/06/2020,90.87843137
cons_stap,01/07/2020,91.81960784
cons_stap,15/07/2020,95.23921569
cons_stap,03/08/2020,96.74117647
cons_stap,17/08/2020,98.77254902
cons_stap,18/08/2020,99.14901961
cons_stap,01/09/2020,99.29019608
cons_stap,16/09/2020,99.03921569
cons_stap,01/10/2020,98.4745098
cons_stap,15/10/2020,99.74509804
cons_stap,02/11/2020,95.50196078
cons_stap,16/11/2020,103.2901961
cons_stap,01/12/2020,101.8745098
cons_stap,15/12/2020,102.2078431
cons_stap,01/01/2021,103.7843137
